国家（中文）,国家（英文）,公司名称,@type,foundingDate,numberOfEmployees,name,description,json_url
巴林,Bahrain,Ocean Superior Trading Co. W.L.L.,Organization,2016.0,1-10,Ocean Superior Trading Co. W.L.L.,We are an Integrated Services provider for the Oil and Gas  Shipping  Marine  Petrochemical  Offshore Construction and Power industries in Saudi Arabia  Bahrain  Dubai and India. ,
巴林,Bahrain,Petrodar International,Organization,2010.0,11-50,Petrodar International,Petrodar International (PDI) is a dynamic organisation that serves the energy industry by being focused on delivering value to its clients. We cater to the needs of the Energy industries particularly the Oil & Gas  Petroleum and Petrochemical sectors.  The name  Petrodar  consists of two words:  Petro  as abbreviation for  Petroleum  and  Dar  meaning  House  in Arabic. Hence when combined  Petrodar  is meant to identify the company as the  House of Petroleum .,
巴林,Bahrain,Power Tech Development W.L.L,Organization,2007.0,,Power Tech Development W.L.L,Power Tech Development W.L.L is part of  Power Tech Group Companies   which has over 10 years of Experience in various fields and we specialize in supplying professionally trained quality manpower for Operation and Maintenance of power plants  Desalination plant etc and we also have vast experience in Information technology.  Our Core Expertise is as below   --  350 Dynamic Engineers and Technicians working in all GCC countries with the below expertise   --   Power and Desalination EPC Operation and Maintenance of Turbines (Gas Steam)  Pump Valves  Compressors etc  --  Online Safety Valve Testing (Trevi Testing) in Boilers and other pressure parts through ACCU Test machines  --  Top Management with close to 30 years of Technical Experience working across Major power plants in GCC countries    --  ISO 9001:2015 and OSHAS 18001:2007 Certified  --  Power and Desalination Training institute – To provide Trained skillful manpower who are always Job Ready,
巴林,Bahrain,QUARTZ OILFIELD SOLUTIONS,Organization,,1-10,QUARTZ OILFIELD SOLUTIONS,The Oil & Gas market in Bahrain is in need of an innovative solution to make use of as a response to the industry’s increasing challenges. We  at QUARTZ  hope to identify this new-wave solution and introduce it to our client-base in Bahrain. Our company’s main goal lies in recognizing and utilizing modern technologies available in the global market and introducing them to our Bahraini Oil & Gas market to tackle any local challenges posed by the industry.  Established in March 2020 by Eng. Yasser Mansoor  QUARTZ has flourished with the aid of Mansoor’s years of experience and expertise. This has given the company an upper-hand  offering optimum solutions by use of emerging trends in technology  adopted from companies in the Oil & Gas industry overseas.   Above all else  our target is to become a leading Bahraini Service and Materials supplier to both upstream and downstream sectors of Oil & Gas  Petrochemical  and Power industries. This allows us to cater to these industries within Bahrain  along with those in the neighbouring Gulf States  through multiple alliances with reputable manufacturers and partners within the technology industry. Our long-term strategy is set to seek out only the newest and most suitable technological applications in the Oil & Gas industry  a strategy that localizes the manufacturing of such technologies within the Bahraini market.,
巴林,Bahrain,SAFE & SHIELD,Organization,,11-50,SAFE & SHIELD,Safe & Shield provides and develops new effective solutions for the various industries facing asset degradation and HSE risks. One example is Composite applications in Oil & GAS which have been increasingly implemented within the biggest organizations standards and practices in the Arabian Gulf and the Middle East. Our team has made a big part of this spread come true due to our specified solutions credibility and success in the region. Call us when you need effective solutions to your corrosion problems or feel like expending your business to a new horizon.,
巴林,Bahrain,Streamline Energy,Organization,2016.0,11-50,Streamline Energy,STREAMLINE ENERGY  provides innovative  and practical solutions to the Oil & Gas upstream & downstream market in Bahrain & the GCC through agency and Joint-venture agreements. Through its in depth knowledge of the marketplace  and relationships with key people in the NOCs and top management of service companies of the GCC  SE facilitates the entry  qualification  set-up  securing of work  and optimization of operations of our clients. Streamline Energy supports both Oil & Gas Service and Operator Companies to meet challenges in the local market and aid in cutting costs and increasing efficiency in their operations.,
巴林,Bahrain,Subasco,Organization,2016.0,11-50,Subasco,SUBASCO was formed in the year 1990 focusing itself in the hospitality & serviced apartments business. SUBASCO carried out its functions well in the nineteenth century and had a vast diversification into the Oil & gas industry in 2016. SUBASCO is a widely recognized name for Oil & Gas and Real Estate consultancy across the country owned by Mr. Suhail Al Bastaki handling the different sectors  they have expert knowledge in. Re-established on 19th June 2016 the company was led by Mr. Suhail Al Bastaki to serve the global market and guide with better quality oil product choices. We help oil and gas companies create change that matters by guiding their journey to a more efficient and sustainable future. At SUBASCO we advise government and national oil companies  major and independent commercial oil companies as they seek to compete in a dynamic industry. Combining novel growth strategies and operational excellence  fueled by digital technologies  we guide companies through lasting transformations.,
巴林,Bahrain,Tarsheed Energy Consultation & Services,Organization,,1-10,Tarsheed Energy Consultation & Services,Tarsheed Energy is a Bahraini company that provides energy management consultation and energy audit services for commercial  industrial and residential sectors.,
巴林,Bahrain,UNISIS Engineering,Organization,2008.0,,UNISIS Engineering,Unisis Engineering is proud to have become the leading Inspection and Staffing Solutions Company for Oil & Gas  Petrochemical  Mining  Water  Power and Infrastructure in the GCC since our inception in 2008. Having worked with most of the biggest names in the Industry  Unisis has over a decade of experience in sourcing the right talent from across the globe. With branches spread across GCC  we take pride in ourselves on delivering quality services to candidates and clients involved in the respective industries.  Serving as a strategic partner to the clients  we offer Inspection and turnkey workforce solution to capture and deliver the top talent need to complete successful projects by aligning with the unique needs of our clients. That is the reason why our clientele has always counted on us for bringing innovative work solutions over these past 14+ years. Unisis operates and recruits jobs in downstream  midstream and upstream and provides staffing solutions on some of the most important Oil & Gas  Petrochemical  Mining  Water  Electricity and Infra Projects in the Region.,
巴林,Bahrain,Virtus Veritas et Ingenium w.l.l,Organization,,11-50,Virtus Veritas et Ingenium w.l.l,NDT Inspectionkgljdflkg jdz  kjdf gjdzflgkjdfz ldfkjg dfzlkhgj dflkjdfl djf ldfkjfdlkhjdflkjdflkbjdflbdkjf osj g    ks lkg  l kg   slkggg  lkgk  slkj   lgg d gtgew[o m evldkfs owkm m mflvvnv lkasja x  s vlkvv   ddkjf sjfjtgjdsl kjseaflkjfqwfujezkmncsalfjhepfgh kjzvgtvc,www.vvi.cc
巴林,Bahrain,Woodlands Energy Services (WoodServ),Organization,,,Woodlands Energy Services (WoodServ),A Full Service and Turn-Key Gas Solutions company  WoodServ is a leading gas compression technology provider for the Oil & Gas and Power & Energy Industries.  As the GE Channel Partner  WoodServ is the official distributor and licensed packager of Reciprocating Compressors and GE Waukesha gas engines.    WoodServ has the capability to supply and package complete gas compression systems and treatment facilities for a number of applications such as but not limited to  Gas Lift  Wellhead Compression  Gas Gathering  CNG  Pipeline transmission  Gas Injection  Fuel Gas Booting  Casing Vapor Recovery  Power Generation units.    WoodServ provides full leasing with 24/7 operation and maintenance services and currently has our manufacturing and service facility centres in the United Arab Emirates and the Kingdom of Saudi Arabia.   ,www.woodserv.com
巴林,Bahrain,nogaholding,Organization,,11-50,nogaholding,nogaholding is The Oil and Gas Holding Company B.S.C. (c)  nogaholding is the hydrocarbon and energy investment and development arm of the Kingdom of Bahrain. Therefore  playing a key role in the implementation of the Kingdom’s strategies.,www.nogaholding.com
巴林,Bahrain,plantOS W.L.L,Organization,2016.0,1-10,plantOS W.L.L,Contact Us  https://www.plant-os.com/,www.plant-os.com
埃及,Egypt,(GPC),Organization,,5001-10000,(GPC),الشركة العامة للبترول  صفحة غير رسمية (Unofficial Page)  The General Petroleum Company is the first national company engaged in research  exploration and production of oil in Egypt.   #Egypt #MinistryOfPetroleumAndMineralResources #EgyptianGeneralPetroleumCorporation #GeneralPetroleumCompany #MOP #EGPC #GPC #Petroleum  #Oil #Gas #Hydrocarbons  Headquarter: 8 Dr. Mostafa Abou Zahra St.   Nasr City  Cairo Egypt,www.gpc.com.eg
埃及,Egypt,.Misr Petroleum Co,Organization,1911.0,10001+,.Misr Petroleum Co,Misr Petroleum Company is one of the companies of the Egyptian petroleum sector   which was founded in order to be a major petroleum products marketing companies in Egypt   where the marketing and transport of petroleum products in accordance with the quotas established by the Egyptian General Petroleum Corporation - EGPC .  Inception Date :- The company  s oldest company in the petroleum considers Egypt   where he operates since 1911 and it was known that while the name of Shell Egypt Ltd.  until Mr. President / Gamal Abdel Nasser nationalized and transformed into public sector in 1964 under its current name as one of the national companies .  The company  s activities :- 1-Flight Catering (covering 13 airport on the level of Egypt)  2-Supply vessels (covers three Egyptian ports of Alexandria  Suez  Port Said)  3-Mineral oils  4-Chemicals  5-Supply and service stations (Gary completion of renovations at the stations)  The company exports products to the African countries and the Arab   Saudi Arabia   Yemen   Sudan   Ghana   Zambia   Togo   Malta   and others .     The company  s assets :- The company owns a number of major warehouses and branch consists of:  Plant chemicals Balmax Mixing compound LAID 13 warehouse distributed throughout the Arab Republic of Egypt  A multi-purpose transport fleet consists of 600 different units  Technical support for the company  which is working on assessing the properties of petroleum products and determine the level of their performance and their ability to meet the needs of all modern machinery and equipment research center Training Center Manar Misr Petroleum  which is the oldest training institution in Egypt and the Middle East with the aim of the petroleum sector in general service Egypt s Petroleum Club  one of the outstanding sports clubs   Quality :-  The company always strives to achieve a quality policy which has committed to obtain ISO 9000 certification ISO 14000 certification,www.misrpetroleum.com.eg
埃及,Egypt,AAPG SU SC,Organization,1917.0,,AAPG SU SC,Founded in 1917  the American Association of Petroleum Geologists is currently the world s largest professional geological society.  *About AAPG  The membership of AAPG includes geologists  geophysicists  CEOs  managers  consultants  students and academicians. The purpose of the organization is to foster scientific research  advance the science of geology  promote technology and inspire high professional conduct. *How to Join There are several levels of membership. Read the various descriptions and requirements to see which one suits you.  *Member Services The starting point of several membership services including the log-in to AAPG Members Only  recruiting program tools  contact information and quick access to the various divisions of AAPG.  *Student Interests Student-focused news and announcements provide up-to-date information from within AAPG as well as links to other student chapters and the AAPG Student Expo. In fact  why not start a chapter on your campus?,www.aapgsuez.net
埃及,Egypt,ADES - Advanced Energy Systems,Organization,1997.0,1001-5000,ADES - Advanced Energy Systems, ADES Group delivers full-scale petroleum services  from onshore and offshore drilling to full oil & gas projects and services  with emphasis on the HSE culture while maintaining excellence in operation targets. ADES is proud of its +3 500 highly qualified employees base and aims to stimulate the regional economy by continuing to recruit and reward qualified team members.  The Group is considered a regional champion for drilling services in MENA region.  ADES succeeded in introducing the first integrated MOPU & FSO (Mobile Offshore Production Unit & Floating Storage and Offloading) solution in Egypt.  Our AIM Is to provide world class oil & gas services that our client expect and deserve.  Our VISION To be the oil and gas industry’s leading drilling and production partner by serving our clients using underutilized assets. Inspiring our people and rewarding our shareholders.  Our MISSION To deliver cost-effective and client centric services that meet the industry’s best practices in quality health   safety and environmental impact by leveraging proven oilfield services technologies  experienced professionals and deal making agility.  Our CORE VALUES  *Safety: Personal safety and employee health is our greatest responsibility  followed by the protection of our environment  company property  and customer property.  *Integrity: Ensuring that our individual and corporate actions are bounded by honesty and ethical conduct.  *Customer Focus: All of our decisions are taken with the customer in focus. We aim to add value for our customers.  *Performance: Providing a level of service which exceeds the expectations of our customers with environmental conscious.  *Agility: Being alert to changes and moving quickly and decisively to meet the challenges that emerge from such changes.  *Innovation: Promoting an innovative culture and attitude by applying creative thinking to everything we do. ,investors.adihgroup.com
